sb	name	pv	pos_peak	pos_avg	neg_peak	neg_avg	max pw	trxno	x	y	sb_es
ACA	อมตะซิตี้ 1	ระยอง	88.079994	33.207565	1.33	1.02	100	2	12.954235076904297	101.11544799804688	4.1836452
ACB	อมตะซิตี้ 2	ระยอง	0	0	0	0	100	2	12.9461030960083	101.10853576660156	0
ATV	อมตะซิตี้ 2 (ช)	ระยอง	59.649998	24.919565	2.73	0.1344681	50	1	12.946645736694336	101.10807037353516	3.1238923
BJA	บ้านฉาง	ระยอง	78.380005	30.325758	0.17	0.08	100	2	12.730753898620605	101.06791687011719	3.8209956
BKH	บ้านค่าย 1	ระยอง	79.4	26.65928	1.9300001	1.9300001	100	2	12.909320831298828	101.31551361083984	3.359043
BKI	บ้านค่าย 2	ระยอง	67.770004	17.943201	11.43	6.825276	100	2	12.876221656799316	101.33621215820313	2.2593193
BKJ	บ้านค่าย 3	ระยอง	0	0	0	0	0	0	0	0	0
BYA	บ้านเพ	ระยอง	93.28001	32.897503	5.3100004	5.2530003	100	2	12.642854690551758	101.4878158569336	4.0192633
ESA	อีสเทิร์นซีบอร์ด 1	ระยอง	88.28	28.46887	0.91	0.32169998	100	2	13.03032398223877	101.17436981201172	3.459103
ESU	อีสเทิร์นซีบอร์ด 3 (ช)	ระยอง	41.539997	12.031239	0.74	0.74	50	1	0	0	1.5148935
HEA	เหมราช 1	ระยอง	91.21	31.363728	3.2	1.0022893	100	2	13.068029403686523	101.18583679199219	3.9492433
KAA	แกลง 1	ระยอง	92.56	32.554646	0.07	0.07	100	2	12.806998252868652	101.66742706298828	4.1018615
KAB	แกลง 2	ระยอง	0	0	0	0	0	0	0	0	0
KAC	แกลง 3	ระยอง	65.200005	21.446133	1.82	1.075	100	2	12.7310209274292	101.58586120605469	2.702201
MBA	มาบข่า	ระยอง	99.82001	34.666527	9.28	5.536667	100	2	12.877115249633789	101.23075103759766	4.367645
MPA	มาบตาพุด 1	ระยอง	0	0	0	0	50	1	12.689587593078613	101.1361312866211	0
MPB	มาบตาพุด 2	ระยอง	0	0	0	0	0	0	0	0	0
MPC	มาบตาพุด 3	ระยอง	59.28	14.823805	0	0	100	2	12.70958423614502	101.17538452148438	1.8674839
NKP	นิคมพัฒนา	ระยอง	89.75	31.17393	0.3	0.19	100	2	12.824804306030273	101.13092041015625	3.6450942
