sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT	E5:GWh	E2:GWh
ACA	????????? 1	?????	88.079994	33.207565	145431.48	1.33	1.02	18	2.5749998	0	0	100	2	"12.9542,101.1154"	320	866	602	539
ATV	????????? 2 (?)	?????	59.649998	24.919565	108592.44	2.73	0.1344681	474	2.1775002	8	4	50	1	"12.9466,101.1081"	167	168	326	291
BJA	???????	?????	78.380005	30.325758	132825.1	0.17	0.08	4	0.08	0	0	100	2	"12.7308,101.0679"	1349	39382	575	511
BKH	???????? 1	?????	79.4	26.65928	116766.78	1.9300001	1.9300001	2	0.48250002	0	0	100	2	"12.9093,101.3155"	1188	31581	493	440
BKI	???????? 2	?????	67.770004	17.943201	78564.66	11.43	6.825276	164	20.555	0	0	100	2	"12.8762,101.3362"	87	441	141	127
BYA	??????	?????	93.28001	32.897503	144087.11	5.3100004	5.2530003	12	1.6125001	0	0	100	2	"12.6429,101.4878"	1291	38034	764	681
ESA	???????????????? 1	?????	88.28	28.46887	124542.52	0.91	0.32169998	200	16.085	8	4	100	2	"13.0303,101.1744"	303	346	508	454
ESU	???????????????? 3 (?)	?????	41.539997	12.031239	52696.563	0.74	0.74	1	0.185	0	0	50	1		81	111	129	116
HEA	?????? 1	?????	91.21	31.363728	137283.22	3.2	1.0022893	327	28.382496	8	4	100	2	"13.0680,101.1858"	455	1398	644	576
KAA	???? 1	?????	92.56	32.554646	142588.53	0.07	0.07	1	0.0175	0	0	100	2	"12.8070,101.6674"	1471	35073	664	593
KAC	???? 3	?????	65.200005	21.446133	93933.64	1.82	1.075	2	0.5375	0	0	100	2	"12.7310,101.5859"	996	24505	561	502
MBA	??????	?????	99.82001	34.666527	151832.52	9.28	5.536667	14	4.5650005	0	0	100	2	"12.8771,101.2308"	1734	39464	827	738
MPC	???????? 3	?????	59.28	14.823805	64928.266	0	0	0	0	0	0	100	2	"12.7096,101.1754"	650	18779	322	286
NKP	?????????	?????	89.75	31.17393	136539.64	0.3	0.19	2	0.095	0	0	100	2	"12.8248,101.1309"	1035	21636	1000	893
NLL	?????????	?????	26.33	4.9192677	21471.836	2.34	1.2337148	494	43.260002	3	1.5	100	2	"12.8318,101.2523"	97	163	173	155
PLU	??????? 1	?????	96.05	29.788801	130474.95	0	0	0	0	0	0	100	2	"13.0023,101.1366"	1719	42758	833	743
PLV	??????? 2	?????	88.63	26.783792	116969.47	9.98	7.6557345	781	89.20001	8	4	100	2	"13.0037,101.1656"	215	224	369	330
PLW	??????? 3	?????	78.22001	21.963245	96149.38	13.15	7.908	77	23.737501	0	0	100	2	"13.0053,101.1966"	469	7618	440	393
PLX	??????? 4	?????	83.049995	43.13335	188906	1.5	1.2278788	16	1.2975	0	0	100	2	"12.9893,101.1034"	473	2564	722	646
RAA	????? 1	?????	118.6	39.98846	175066.39	8.14	6.6983337	80	54.557503	0	0	100	2	"12.6898,101.2714"	1610	57515	1015	905
RAB	????? 2	?????	89.33001	30.107328	124567.805	11.17	6.572055	8888	4077.301	8	4	100	2	"12.7531,101.1587"	1312	27769	942	841
RAC	????? 3	?????	51.489998	8.796999	35850.164	7.86	5.8152423	13209	18951.443	4	2	90	2	"12.7222,101.1396"	166	601	205	184
RAD	????? 4	?????	117.60999	36.101173	158121.86	6.8999996	6.8999996	2	1.7249999	0	0	100	2	"12.6950,101.2310"	1215	45652	606	539
WCN	?????????	?????	33.480003	13.322093	58342.08	5.04	4.6590004	24	16.585001	0	0	50	1	"12.9638,101.5012"	787	12313	301	269
AKA	??????? 1	??????	70.89001	27.068218	118534.266	12.12	11.196209	37	20.285	0	0	100	2	"13.4523,101.0623"	388	1069	768	687
AKB	??????? 2	??????	67.53	19.17724	83995.64	0.11	0.06	2	0.03	0	0	100	2	"13.4334,101.0496"	210	999	384	344
AKC	??????? 3	??????	90.39	35.542713	155677.1	0	0	0	0	0	0	100	2	"13.4343,101.0980"	301	853	656	587
AKU	??????? 6 (?)	??????	89.41	36.709873	160746.66	0.71	0.13560002	25	0.8475001	0	0	100	2		305	307	629	563
APA	??????? 1	??????	68.479996	21.580853	94522.734	4.39	4.39	1	1.0975	0	0	90	2	"13.1248,100.9278"	772	15056	747	668
BBA	??????? 1	??????	114.11	37.790188	145331.06	36.329998	12.241859	22949	16114.812	8	4	100	2	"13.2194,101.2229"	1256	14509	1016	908
BBB	??????? 2	??????	114.77	41.7193	182711.94	8.38	4.7585716	17	6.1975	0	0	100	2	"13.3088,101.1086"	1169	22829	787	702
BBC	??????? 3 (?)	??????	34.68	9.705618	42361.75	14.74	5.3746986	203	58.072502	5	2.5	25	1	"13.2802,101.1994"	395	6810	275	246
BLA	????????	??????	98.22	35.960617	157503.22	4.06	4.015	5	1.3625001	0	0	100	2	"12.9381,100.9258"	2164	56156	866	768
BNF	??? 2	??????	91.97	41.544003	181955.05	17.43	16.615	8	5.6475	0	0	100	2	"13.0807,101.1200"	1993	34941	1210	1080
BNG	??? 1	??????	87.57001	35.301575	154620.56	1.57	1.57	1	0.3925	0	0	90	2	"13.0990,100.9682"	1707	34978	995	887
BNU	??? 4 (?)	??????	50.18	24.995584	109459.96	0.17999999	0.16	12	0.18	0	0	50	1		444	7303	368	329
BPE	??????	??????	109.96	41.36516	181176.92	0.41	0.41	2	0.1025	0	0	100	2	"13.2404,100.9342"	1740	38272	1134	1012
BSN	?????? 1	??????	89.560005	31.44057	137709.7	0	0	0	0	0	0	100	2	"13.3099,100.9538"	1174	28926	890	794
BSO	?????? 2	??????	63.11	26.870815	117694.164	0	0	0	0	0	0	100	2	"13.3322,100.9356"	1025	33971	452	401
BVU	?????? (?)	??????	28.880001	14.658112	63571.895	8.26	3.051484	35593	186.40248	7	3.5	25	1	"13.3151,101.3231"	992	12190	462	413
BWN	?????? 2	??????	66.87	19.675049	75436.875	12.49	6.930134	16318	19484.309	8	4	100	2	"13.0751,101.0885"	496	4356	500	447
CBA	?????? 1	??????	102.18	36.06011	157942.39	1.43	1.43	1	0.3575	0	0	100	2	"13.3390,100.9914"	991	29402	500	445
CBB	?????? 2	??????	80.799995	39.579185	173197.23	2.08	2.08	209	16.999996	8	4	100	2	"13.4097,100.9999"	1778	47104	919	818
CBC	?????? 3	??????	93.46999	35.99743	157603.97	1.0799999	0.5119828	99	7.745	0	0	100	2	"13.4499,100.9991"	1026	21139	1148	1025
CBD	?????? 4	??????	59.700005	19.601627	85313.19	16.380001	10.046167	653	292.94998	8	4	100	2	"13.3704,101.0349"	757	22793	419	372
CHT	???????? 1	??????	84.68001	22.43282	97744.26	5.11	2.4556336	498	79.43249	8	4	100	2	"12.8588,100.9220"	1213	24571	741	661
CHU	???????? 2	??????	71.12	24.872105	108791.414	19.71	15.184103	224	256.7825	8	4	100	2	"12.9000,100.8989"	1028	33386	637	569
HEB	?????? 2	??????	59.339996	11.441345	49995.098	12.17	5.3626323	241	36	6	3	100	2	"13.1321,101.1486"	74	81	102	92
KMK	??????????	??????	85.7	17.268679	75600.516	13.94	12.4133625	55	57.842503	0	0	100	2	"12.9175,101.0316"	1373	15494	852	761
KPO	?????????	??????	81.27	26.984753	118186.65	9.57	8.982666	11	12.184999	0	0	100	2	"13.4187,101.2831"	1270	21206	828	740
LCA	???????? 1	??????	86.38	21.967358	96217.04	0	0	0	0	0	0	100	2	"13.0946,100.8957"	290	509	559	500
LCB	???????? 2	??????	85.079994	33.307743	145870.92	0.82	0.438	15	1.6424999	0	0	100	2	"13.0754,100.9206"	1198	25264	718	640
NOU	???????? 2 (?)	??????	33.440002	13.235922	57278.633	8.55	5.2785563	3400	278.4837	7	3.5	40	3		155	1301	132	118
NOY	???????? 1	??????	78.450005	19.386545	74134.42	23.359999	11.58408	14310	16752.193	8	4	100	2	"13.1685,101.2791"	675	5835	510	456
PSA	????????	??????	112.12001	35.92344	157343.14	0.34	0.34	1	0.085	0	0	100	2	"16.0502,100.1166"	1672	39543	613	546
PTP	?????? 2	??????	88.479996	43.480858	190443.94	4.56	4.56	3	1.14	0	0	100	2	"13.4213,101.1016"	1844	43987	1871	1669
PYG	?????????	??????	90.52999	25.693464	112530.25	21.68	12.446385	22	7.9500003	0	0	150	3	"12.9353,100.8912"	541	6902	489	437
PYN	?????????? 1	??????	95.920006	23.12507	101285.55	4.8199997	4.8199997	4	1.2049999	0	0	100	2	"12.9561,100.9073"	1096	25444	638	568
PYO	?????????? 2	??????	72.83	34.158936	149550.97	15.31	8.037701	120	94.115005	0	0	100	2	"12.9795,100.9576"	172	4433	49	43
PYT	???????? 1	??????	34.48	2.0686398	9060.161	17.18	12.224001	879	805.80756	1	0.5	100	2	"12.9170,100.8673"	1256	29930	944	843
PYU	???????? 2	??????	101.619995	33.054077	144770.77	11.120001	9.66	8	2.7824998	0	0	100	2	"12.9221,100.8834"	858	16569	523	467
PZA	??????? 1	??????	101.52	28.617325	125328.97	0.39	0.26045454	54	1.6075001	0	0	100	2	"13.1165,100.9993"	402	730	651	583
PZC	??????? 3	??????	44.089996	10.957666	47994.58	0	0	0	0	0	0	100	2	"13.0933,101.0613"	89	99	149	133
PZW	??????? 2 (?)	??????	41.46	17.047445	74615.586	11.809999	10.00074	68	84.3525	0	0	50	1	"13.1156,101.0386"	200	269	428	382
SCA	??????? 1	??????	113.68001	46.851135	205151.19	8.32	6.70359	40	51.870003	0	0	100	2	"13.1605,100.9435"	1644	52505	789	701
ALA	???????	??????	52.25	13.709565	58105.273	14.890001	6.656503	6701	899.04645	7	3.5	50	1	"8.4204,98.7396"	1810	36468	464	414
KBA	?????? 1	??????	94.009995	17.015186	62319.07	15.28	5.506432	18780	16241.087	7	3.5	100	2	"8.0564,99.0204"	1692	36039	454	406
KBB	?????? 2	??????	124.69	39.724766	173708	7.87	5.7575607	497	309.0225	8	4	100	2	"8.0949,98.8894"	2539	55142	1287	1150
KTM	????????	??????	69.67	19.63424	68855.85	36.130005	1.720919	23669	1463.4706	8	4	100	2	"7.8659,99.1525"	2039	41434	506	453
ARA	?????????? 1	???????	74.73	14.920713	60222.03	44.760002	15.192354	27282	13154.4375	7	3.5	90	2	"13.7246,102.4759"	1493	49973	366	325
ARB	?????????? 2	???????	64.92999	22.99501	100689.01	7.66	5.4789324	1011	542.82764	8	4	100	2	"13.6746,102.5452"	491	13838	185	165
SKW	???????	???????	81.53	23.753197	78215.12	38.99	12.36698	28370	16834.521	8	4	100	2	"13.8944,101.9871"	1665	43974	703	627
WNA	????????	???????	66.41	14.409707	56656.83	33.14	13.534362	16560	14113.048	7	3.5	50	2	"13.7687,102.2423"	1633	45385	531	474
WYA	??????????	???????	60.57	12.552304	48832.5	29.59	7.533176	20382	6337.44	6	3	100	2	"13.4126,102.1979"	1334	34847	280	250
AYA	?????? 1	???????????????	83.61	27.763054	119300.07	6.56	2.8408067	15104	3516.5486	8	4	100	2	"14.3631,100.5532"	1189	33325	655	583
AYB	?????? 2	???????????????	59.79	18.947529	82989.36	2.34	2.34	1	0.585	0	0	100	2	"14.3832,100.6036"	886	18928	553	493
BIA	???????? 1	???????????????	89.229996	27.45008	120227.4	3.6499999	2.6599998	5	1.0374999	0	0	100	2	"14.2121,100.5872"	1613	28878	852	759
BIC	???????? 3	???????????????	61.53	10.749672	43335.6	17.68	4.2998033	7323	2292.1338	5	2.5	100	2	"14.1692,100.5221"	455	4248	432	386
BKS	?????????? 1	???????????????	60.560005	2.4503963	10674.438	12.679999	2.5221653	3379	32.79748	2	1	80	2	"14.2020,100.5850"	215	277	423	378
BKT	?????????? 2	???????????????	19.67	3.5338712	15478.355	7.61	7.61	1	1.9025	0	0	100	2	"14.1883,100.5905"	64	64	134	120
BLS	???????????	???????????????	101.75	35.976105	157573.05	2.01	2.01	3	0.5025	0	0	100	2	"14.2052,100.6647"	1102	16905	852	760
BNL	??????? 1	???????????????	27.349998	6.4017587	28039.703	4.19	0.6975099	16627	2899.3743	4	2	90	2	"14.2498,100.6103"	151	206	292	261
BNM	??????? 2 (?)	???????????????	25.34	5.724755	25067.713	7.44	6.6359377	34	10.6175	0	0	90	2	"14.2407,100.6058"	77	79	141	126
BPH	?????????	???????????????	48.46	12.8807	49154.016	7.58	3.9161823	14959	10170.356	6	3	100	2	"14.4991,100.5913"	292	4602	306	273
BPI	????????	???????????????	47.73	10.850997	43992.742	31.18	13.918329	15162	13945.209	5	2.5	100	2	"14.5038,100.5193"	748	15901	321	287
BSA	??????	???????????????	73.11	24.350643	94858.15	20.7	7.7773943	9625	5571.505	8	4	100	2	"14.1781,100.4801"	658	10260	288	257
