sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT	E5:GWh	E2:GWh	SPP	VSPP	REPL
BJA	บ้านฉาง	ระยอง	78.380005	30.325758	132825.1	0.17	0.08	4	0.08	0	0	100	2	https://maps.google.com/?q=12.7308,101.0679	1349	39382	575	511	1	0	0
BKH	บ้านค่าย 1	ระยอง	79.4	26.65928	116766.78	1.9300001	1.9300001	2	0.48250002	0	0	100	2	https://maps.google.com/?q=12.9093,101.3155	1188	31581	493	440	0	0	0
BYA	บ้านเพ	ระยอง	93.28001	32.897503	144087.11	5.3100004	5.2530003	12	1.6125001	0	0	100	2	https://maps.google.com/?q=12.6429,101.4878	1291	38034	764	681	1	0	0
KAA	แกลง 1	ระยอง	92.56	32.554646	142588.53	0.07	0.07	1	0.0175	0	0	100	2	https://maps.google.com/?q=12.8070,101.6674	1471	35073	664	593	0	0	0
KAC	แกลง 3	ระยอง	65.200005	21.446133	93933.64	1.82	1.075	2	0.5375	0	0	100	2	https://maps.google.com/?q=12.7310,101.5859	996	24505	561	502	0	0	0
MBA	มาบข่า	ระยอง	99.82001	34.666527	151832.52	9.28	5.536667	14	4.5650005	0	0	100	2	https://maps.google.com/?q=12.8771,101.2308	1734	39464	827	738	0	0	0
MPC	มาบตาพุด 3	ระยอง	59.28	14.823805	64928.266	0	0	0	0	0	0	100	2	https://maps.google.com/?q=12.7096,101.1754	650	18779	322	286	0	0	0
NKP	นิคมพัฒนา	ระยอง	89.75	31.17393	136539.64	0.3	0.19	2	0.095	0	0	100	2	https://maps.google.com/?q=12.8248,101.1309	1035	21636	1000	893	2	0	0
PLU	ปลวกแดง 1	ระยอง	96.05	29.788801	130474.95	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.0023,101.1366	1719	42758	833	743	2	0	0
PLW	ปลวกแดง 3	ระยอง	78.22001	21.963245	96149.38	13.15	7.908	77	23.737501	0	0	100	2	https://maps.google.com/?q=13.0053,101.1966	469	7618	440	393	1	0	0
RAA	ระยอง 1	ระยอง	118.6	39.98846	175066.39	8.14	6.6983337	80	54.557503	0	0	100	2	https://maps.google.com/?q=12.6898,101.2714	1610	57515	1015	905	0	0	0
RAB	ระยอง 2	ระยอง	89.33001	30.107328	124567.805	11.17	6.572055	8888	4077.301	0	0	100	2	https://maps.google.com/?q=12.7531,101.1587	1312	27769	942	841	0	0	0
RAD	ระยอง 4	ระยอง	117.60999	36.101173	158121.86	6.8999996	6.8999996	2	1.7249999	0	0	100	2	https://maps.google.com/?q=12.6950,101.2310	1215	45652	606	539	0	0	0
WCN	วังจันทร์	ระยอง	33.480003	13.322093	58342.08	5.04	4.6590004	24	16.585001	0	0	50	1	https://maps.google.com/?q=12.9638,101.5012	787	12313	301	269	0	0	0
APA	อ่าวไผ่ 1	ชลบุรี	68.479996	21.580853	94522.734	4.39	4.39	1	1.0975	0	0	90	2	https://maps.google.com/?q=13.1248,100.9278	772	15056	747	668	0	0	0
