ระยอง	16826	415457	22841	61
ชลบุรี	34104	690480	59133	102
กระบี่	8080	161664	6305	24
สระแก้ว	6616	182235	4952	12
พระนครศรีอยุธยา	13590	261311	13651	79
ฉะเชิงเทรา	12935	254881	15582	48
สมุทรสาคร	12460	194923	18711	92
ปทุมธานี	21763	436790	25925	56
บุรีรัมย์	6441	222629	5948	35
ปราจีนบุรี	9647	203800	7036	77
เพชรบุรี	8253	196318	10289	26
เชียงใหม่	17531	474424	39960	96
สระบุรี	11977	264902	10121	22
พิษณุโลก	9106	246276	10143	21
ราชบุรี	14048	332808	17515	26
ขอนแก่น	16541	592977	14803	40
นครปฐม	15068	300357	24189	43
สงขลา	16231	522439	19838	33
สุราษฎร์ธานี	15093	369850	9857	45
นครสวรรค์	11783	314940	8345	18
นครราชสีมา	16611	598321	14720	33
ลพบุรี	6454	169539	5339	39
ภูเก็ต	7701	164798	17507	22
ระนอง	2438	58299	2360	9
สมุทรสงคราม	1279	29666	1883	4
